BOP,GL,PL,Visible,Coterie ID,Industry,Subindustry,Class Description For Selection,Class Description,Class Selection Differentiation,Customer Friendly Name,Word Associations,Contractor Only - Office or Shop,Office/LRO/Condo,PL Group,PL Class,WC Class,Notes,Class Code,SIC Code,NAICS Code,Prop. Rate No.,Liab. Class Group,Liab. Exp. Base,EQ,EQSL
Y, ,,Y,10115,Retail Store & Services,Retail,Catalog Store ,Catalog or Premium Coupon Redemption Stores ,,Catalog Store,,,,,,,,73905,5961,454110,7,4,LOI,3,M
Y,Y,Y,Y,10116,Artisan Contractor,Contractor,(Metal Only) Wall or Ceiling Installation Office ,Ceiling or Wall Installation – Metal only (Other than Metal should be classified as Dry Wall or Wallboard Installation or Carpentry) Office,,(Metal Only) Wall or Ceiling Installation Office,"Framing, Contractor, Construction",Office,,Consultants,Other consulting services,,,74281,1761,235420,19,53,PAY,3,S
Y,Y,Y,Y,10117,Artisan Contractor,Contractor,(Metal Only) Wall or Ceiling Installation Shop ,Ceiling or Wall Installation – Metal only (Other than Metal should be classified as Dry Wall or Wallboard Installation or Carpentry) Shop,,(Metal Only) Wall or Ceiling Installation Shop,"Framing, Contractor, Construction",Shop,,Consultants,Other consulting services,,,74291,1761,235420,20,53,PAY,3,S
Y, ,,Y,10118,Retail Store & Services,Retail,Ceramics Store ,Ceramics – Retail Only ,,Ceramics Store,"Art, Craft",,,,,,,59999,5999,444190,9,8,LOI,1,S
Y,Y,Y,Y,10119,Professional Services,Contractor,Chat Bot Design  ,Chat Bot Design ,,,,,,IT/Technology,Other technology services,,,10374,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10120,Professional Services,Contractor,Chemical Engineering  ,Chemical Engineering ,,,Science,,,Architects & Engineers,Engineering,,,10375,7379,541512,1,51,PAY,3,M
Y, ,,Y,10121,Food & Beverage,Fast Food Restaurants,Chicken  ,Chicken ,,,"Food, Diner",,,,,,,9031,5812,722211,18,32,SALES,2,M
Y, ,,Y,10122,Medical Services,Texas office,Chiropractor  Office - Only Building Occupant,Chiropractor ,Office - Only Building Occupant,,,,Office,,,,Texas only,3181,8041,621310,1,1,LOI,2,H
, ,,,10123,Medical Services,Texas office,Chiropractor  Building Owner / Lessor,Chiropractor ,Building Owner / Lessor,,,,Lessors Risk Only,,,,Texas only,3181,8041,531120,1,1,LOI,2,H
Y, ,,Y,10124,Medical Services,Texas office,Chiropractor  Shared Building Occupancy – Office,Chiropractor ,Shared Building Occupancy – Office,,,,Condominium – Office,,,,Texas only,3191,8041,621310,2,18,LOI,2,H
, ,,,10125,Medical Services,Texas office,Chiropractor  Building Owner / Lessor - Office - Shared Building Occupancy,Chiropractor ,Building Owner / Lessor - Office - Shared Building Occupancy,,,,Condominium – Office – Lessors Risk Only,,,,Texas only,3191,8041,531120,2,18,LOI,2,H
Y,Y,Y,Y,10126,Professional Services,Contractor,Civil & Structural Engineering  ,Civil & Structural Engineering ,,,"Architecture, Design, ",,,Architects & Engineers,Civil engineering,,,10376,7379,541512,2,51,PAY,3,M
Y,Y,Y,Y,10127,Professional Services,Contractor,Claims adjusting  ,Claims adjusting ,,,,,,Miscellaneous,Claims adjusting,,,10435,7389,541611,1,51,PAY,3,M
Y, ,,Y,10128,Retail Store & Services,Retail,Children's Clothing Store ,Clothing or Wearing Apparel – Children's and Infants' Wear ,,Children's Clothing Store,"Clothes, Baby, Children",,,,,,,56413,5641,448130,11,3,LOI,3,M
Y, ,,Y,10129,Retail Store & Services,Retail,Family Clothing Store ,Clothing or Wearing Apparel – Family Clothing Stores ,,Family Clothing Store,"Clothes, ",,,,,,,56325,5651,448140,11,3,LOI,3,M
Y, ,,Y,10130,Retail Store & Services,Retail,Men's Clothing and Accessories Store ,Clothing or Wearing Apparel – Haberdashery and Men's Furnishings ,,Men's Clothing and Accessories Store,"Dry Goods, ",,,,,,,56113,5611,448150,11,3,LOI,3,M
Y, ,,Y,10131,Retail Store & Services,Retail,Hosiery Store ,Clothing or Wearing Apparel – Hosiery ,,Hosiery Store,"Clothes, ",,,,,,,56313,5632,448190,11,3,LOI,3,M
Y, ,,Y,10132,Retail Store & Services,Retail,Women's Clothing Store ,"Clothing or Wearing Apparel – Ladies' and Girls' (Coats, Suits and Dresses) ",,Women's Clothing Store,"Clothes, ",,,,,,,56214,5621,448120,11,3,LOI,3,M
Y, ,,Y,10133,Retail Store & Services,Retail,Women's Specialty Store ,Clothing or Wearing Apparel – Ladies' Specialty Stores ,,Women's Specialty Store,"Clothes, ",,,,,,,56319,5632,448190,11,3,LOI,3,M
Y, ,,Y,10134,Retail Store & Services,Retail,Lingerie Store ,Clothing or Wearing Apparel – Ladies' Undergarments and Lingerie ,,Lingerie Store,"Clothes, ",,,,,,,56312,5632,448190,11,3,LOI,3,M
Y, ,,Y,10135,Retail Store & Services,Retail,Leather Or Hide Store ,Clothing or Wearing Apparel – Leather Products or Hide Stores ,,Leather Or Hide Store,"Clothing, Clothes",,,,,,,56992,5948,448320,11,3,LOI,3,M
Y, ,,Y,10136,Retail Store & Services,Retail,Suit Store ,Clothing or Wearing Apparel – Men's and Boys' (Coats and Suits) ,,Suit Store,"Clothes, ",,,,,,,56114,5611,448110,11,3,LOI,3,M
Y, ,,Y,10137,Wholesalers & Distributors,Distributor,Men's Clothing Distributor ,Clothing or Wearing Apparel – Men's and Boy's Clothing and Furnishings ,,Men's Clothing Distributor,"Clothes, ",,,,,,,50231,5136,422320,16,11,LOI,3,M
Y, ,,Y,10138,Retail Store & Services,Retail,Hat Store ,Clothing or Wearing Apparel – Men's and Boys' Hats and Caps ,,Hat Store,,,,,,,,50333,5611,448150,11,3,LOI,3,M
Y, ,,Y,10139,Retail Store & Services,Retail ,Sporting Goods Store ,Clothing or Wearing Apparel – Sporting Goods and Athletic Apparel ,,Sporting Goods Store,"Clothes, ",,,,,,,59526,5699,451110,11,6,LOI,3,M
Y, ,,Y,10140,Retail Store & Services,Retail,Wig Store ,Clothing or Wearing Apparel – Wigs ,,Wig Store,,,,,,,,59993,5699,448150,11,3,LOI,3,M
Y, ,,Y,10141,Wholesalers & Distributors,Distributor,Women's and Children's Clothing Distributor ,"Clothing or Wearing Apparel – Women's, Children's and Infants' Clothing and Accessories ",,Women's and Children's Clothing Distributor,"Clothes, ",,,,,,,50231,5137,422330,16,11,LOI,3,M
Y, ,,Y,10142,Food & Beverage,Limited Cooking Restaurant,Coffee Shop ,Coffee Bars or Shops ,,Coffee Shop,"Food, Restaurant",,,,,,,9041,5812,722213,17,31,SALES,2,M
Y, ,,Y,10143,Wholesalers & Distributors,Distributor,Collectibles and Memorabilia Distributor ,Collectibles and Memorabilia ,,Collectibles and Memorabilia Distributor,"Sports, Unique, Custom",,,,,,,50261,5092,421920,13,11,LOI,1,H
Y, ,,Y,10144,Retail Store & Services,Retail ,Collectibles and Memorabilia Store ,Collectibles and Memorabilia ,,Collectibles and Memorabilia Store,"Sports, Unique, Custom",,,,,,,59992,5999,453998,7,3,LOI,1,H
, ,,,10145,Professional Services,Offices,Collection Agencies  : Building Owner / Lessor,Collection Agencies ,: Building Owner / Lessor,,"Debt, Litigation",,Lessors Risk Only,Consultants,Other consulting services,,,63691,7322,531120,1,1,LOI,3,M
Y, ,Y,Y,10146,Professional Services,Offices,Collection Agencies  : Office - Only Building Occupant,Collection Agencies ,: Office - Only Building Occupant,,"Debt, Litigation",,Office,Consultants,Other consulting services,,,63691,7322,561440,1,1,LOI,3,M
Y, ,Y,Y,10147,Professional Services,Offices,Collection Agencies  : Shared Building Occupancy – Office,Collection Agencies ,: Shared Building Occupancy – Office,,"Debt, Litigation",,Condominium – Office,Consultants,Other consulting services,,,63711,7322,561440,2,18,LOI,3,M
, ,,,10148,Professional Services,Offices,Collection Agencies  : Building Owner / Lessor - Office - Shared Building Occupancy,Collection Agencies ,: Building Owner / Lessor - Office - Shared Building Occupancy,,"Debt, Litigation",,Condominium – Office – Lessors Risk Only,Consultants,Other consulting services,,,63711,7322,531120,2,18,LOI,3,M
Y, ,Y,Y,10149,Professional Services,Associations,Commercial Condo Association ,Commercial Condominium (Association risk only) ,,Commercial Condo Association,,,,Miscellaneous,Business manager services,,,60989,6531,531312,2,18,LOI,3,M
Y,Y,Y,Y,10150,Professional Services,Contractor,Computer consultant  ,Computer consultant ,,,,,,IT/Technology,Computer consultant,,,10396,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10151,Professional Services,Contractor,Computer Engineering  ,Computer Engineering ,,,,,,IT/Technology,Computer programming services,,,10377,7379,541512,1,51,PAY,3,M
Y, ,,Y,10152,Retail Store & Services,Retail,Computer Stores  ,Computer Stores ,,,"Laptop, Electronics",,,,,,,57326,5734,443120,9,5,LOI,2,M
Y,Y,Y,Y,10153,Professional Services,Contractor,Computer system/network developer  ,Computer system/network developer ,,,,,,IT/Technology,Computer system/network developer,,,10426,7379,541519,1,51,PAY,3,M
Y, ,,Y,10154,Food & Beverage,Fast Food Restaurants,Concession Stands/Snack Bars  ,Concession Stands/Snack Bars ,,,"Food, Diner",,,,,,,9051,5812,722213,18,32,SALES,2,M
Y, ,,Y,10155,Food & Beverage,Limited Cooking Restaurant,Concession Stands/Snack Bars  ,Concession Stands/Snack Bars ,,,"Food, Diner",,,,,,,9061,5812,722213,17,31,SALES,2,M
Y,Y,Y,Y,10156,Artisan Contractor,Contractor,Concrete Construction Office ,Concrete Construction Office,,Concrete Construction Office,"Foundation, Cement",Office,,Consultants,Other consulting services,,"This classification includes foundations, making, setting up or taking down forms, scaffolds, false-work or concrete distributing apparatus.
This classification excludes excavation, pile driving, tunneling, subway construction, caisson or cofferdam work, guniting, bridge and elevated highway construction and sewer work.",74341,1771,235710,19,57,PAY,3,M
Y,Y,Y,Y,10157,Artisan Contractor,Contractor,Concrete Construction Shop ,Concrete Construction Shop,,Concrete Construction Shop,"Foundation, Cement",Shop,,Consultants,Other consulting services,,"This classification includes foundations, making, setting up or taking down forms, scaffolds, false-work or concrete distributing apparatus.
This classification excludes excavation, pile driving, tunneling, subway construction, caisson or cofferdam work, guniting, bridge and elevated highway construction and sewer work.",74351,1771,235710,20,57,PAY,3,M
Y,Y,Y,Y,10158,Professional Services,Contractor,Content Marketing  ,Content Marketing ,,,,,,Consultants,Other marketing/PR services,,,10446,7319,541890,1,51,PAY,3,M
Y,Y,Y,Y,10159,Professional Services,Contractor,Contract Manufacturing  ,Contract Manufacturing ,,,Contractor ,,,Architects & Engineers,Engineering,,,10378,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10160,Professional Services,Contractor,Control systems integration / automation  ,Control systems integration / automation ,,,,,,Architects & Engineers,Control systems integration / automation,,,10392,7379,541512,1,51,PAY,3,M
Y, ,,Y,10161,Food & Beverage,Limited Cooking Restaurant,Convenience Food Stores - No Gasoline Sales - with Limited Cooking Restaurant  ,Convenience Food Stores - No Gasoline Sales - with Limited Cooking Restaurant ,,,,,,,,,,9331,5411,445120,24,36,SALES,2,M
, ,,,10162,Retail Store & Services,Retail,Convenience Food Stores - With Gasoline Sales - No Restaurant  ,Convenience Food Stores - With Gasoline Sales - No Restaurant ,,,"Gas, Station, ",,,,,,,9321,5411,445120,10,10,LOI,2,M
Y, ,,Y,10163,Food & Beverage,Fast Food Restaurants,Convenience Food Stores - With Gasoline Sales - With Fast Food Restaurant  ,Convenience Food Stores - With Gasoline Sales - With Fast Food Restaurant ,,,"Gas, Station, ",,,,,,,9361,5411,445120,25,39,SALES,2,M
Y, ,,Y,10164,Food & Beverage,Limited Cooking Restaurant,Convenience Food Stores - With Gasoline Sales - With Limited Cooking Restaurant  ,Convenience Food Stores - With Gasoline Sales - With Limited Cooking Restaurant ,,,"Gas, Station, ",,,,,,,9351,5411,445120,24,38,SALES,2,M
, ,,,10165,Retail Store & Services,Retail,Convenience Food Stores - Without Gasoline Sales - No Restaurant  ,Convenience Food Stores - Without Gasoline Sales - No Restaurant ,,,,,,,,,,54136,5411,445120,10,9,LOI,2,M
Y, ,,Y,10166,Food & Beverage,Fast Food Restaurants,Convenience Food Stores - Without Gasoline Sales - With Fast Food Restaurant  ,Convenience Food Stores - Without Gasoline Sales - With Fast Food Restaurant ,,,,,,,,,,9341,5411,445120,25,37,SALES,2,M
Y, ,,Y,10167,Retail Store & Services,Retail Service,Copying and Duplicating Stores  ,Copying and Duplicating Stores ,,,"Print, Copy, ",,,,,,,71877,7334,561438,8,4,LOI,3,M
Y,Y,Y,Y,10168,Professional Services,Contractor,Copywriting  ,Copywriting ,,,,,,Consultants,Other consulting services,,,10505,7319,711510,1,51,PAY,3,M
Y, ,,Y,10169,Retail Store & Services,Retail ,Retail Beauty Store ,"Cosmetic, Hair or Skin Preparation – Retail Only ",,Retail Beauty Store,"Beauty, Make-up, ",,,,,,,59991,5999,446120,9,3,LOI,3,M
Y,Y,Y,Y,10170,Professional Services,Contractor,Court reporting  ,Court reporting ,,,,,,Miscellaneous,Court reporting,,,10353,8111,541199,2,51,PAY,3,M
Y,Y,Y,Y,10171,Professional Services,Contractor,Creative Writing  ,Creative Writing ,,,,,,Consultants,Other consulting services,,,10506,7319,711510,1,51,PAY,3,M
, ,,,10172,Professional Services,Offices,Credit Reporting Agencies  : Building Owner / Lessor,Credit Reporting Agencies ,: Building Owner / Lessor,,"Debt, ",,Lessors Risk Only,Consultants,Other consulting services,,,63721,7323,531120,1,1,LOI,3,M
Y, ,Y,Y,10173,Professional Services,Offices,Credit Reporting Agencies  : Office - Only Building Occupant,Credit Reporting Agencies ,: Office - Only Building Occupant,,"Debt, ",,Office,Consultants,Other consulting services,,,63721,7323,561450,1,1,LOI,3,M
Y, ,Y,Y,10174,Professional Services,Offices,Credit Reporting Agencies  : Shared Building Occupancy – Office,Credit Reporting Agencies ,: Shared Building Occupancy – Office,,"Debt, ",,Condominium – Office,Consultants,Other consulting services,,,63731,7323,561450,2,18,LOI,3,M
, ,,,10175,Professional Services,Offices,Credit Reporting Agencies  : Building Owner / Lessor - Office - Shared Building Occupancy,Credit Reporting Agencies ,: Building Owner / Lessor - Office - Shared Building Occupancy,,"Debt, ",,Condominium – Office – Lessors Risk Only,Consultants,Other consulting services,,,63731,7323,531120,2,18,LOI,3,M
Y,Y,Y,Y,10176,Professional Services,Contractor,Cyber Security Contracting  ,Cyber Security Contracting ,,,"On-line, private, Intelligence",,,IT/Technology,Other technology services,,,10379,7379,541512,1,51,PAY,3,M
Y, ,,Y,10177,Retail Store & Services,Retail,Dairy (store) ,Dairy Products or Butter and Egg Stores (Including Ice Cream) ,,Dairy (store),"Farm, Organic",,,,,,,54516,5451,445299,10,9,LOI,2,M
Y, ,Y,Y,10178,"Health, Beauty & Fitness",Offices,Dance therapy  ,Dance therapy ,,,,,,"Beauty, Health, and Wellbeing",Dance therapy,,,63811,6324,621491,1,1,LOI,3,M
Y,Y,Y,Y,10179,Professional Services,Contractor,Data Engineering  ,Data Engineering ,,,,,,IT/Technology,Other technology services,,,10380,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10180,Professional Services,Contractor,Data Entry  ,Data Entry ,,,"Computer, Input ",,,IT/Technology,Other technology services,,,10381,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10181,Professional Services,Contractor,Data Extraction / ETL  ,Data Extraction / ETL ,,,,,,IT/Technology,Other technology services,,,10382,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10182,Professional Services,Contractor,Data Mining & Management  ,Data Mining & Management ,,,,,,IT/Technology,Other technology services,,,10383,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10183,Professional Services,Contractor,Data processing  ,Data processing ,,,,,,IT/Technology,Data processing,,,10384,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10184,Professional Services,Contractor,Data Science  ,Data Science ,,,"Data Analytics, Processing, Analysis, ",,,IT/Technology,Other technology services,,,10384,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10185,Professional Services,Contractor,Data Visualization  ,Data Visualization ,,,,,,IT/Technology,Other technology services,,,10385,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10186,Professional Services,Contractor,Database Administration  ,Database Administration ,,,"Data Analytics, Processing, Analysis, ",,,IT/Technology,Technology services,,,10386,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10187,Professional Services,Contractor,Database designer  ,Database designer ,,,,,,IT/Technology,Database designer,,,10386,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10188,Professional Services,Contractor,Database Management  ,Database Management ,,,,,,IT/Technology,Technology services,,,10387,7379,541512,1,51,PAY,3,M
Y, ,,Y,10189,Food & Beverage,Limited Cooking Restaurant,Deli (No Cooking) ,Delicatessens – Primarily retailing a range of grocery items and meats (No Cooking) ,,Deli (No Cooking),"Sandwich, subs, meat, ",,,,,,,54116,5411,445110,10,9,LOI,2,M
Y, ,,Y,10190,Food & Beverage,Fast Food Restaurants,Deli ,Delicatessens and Sandwich Shops ,,Deli,"Sandwich, subs, meat, ",,,,,,,9071,5812,722211,18,32,SALES,2,M
Y, ,,Y,10191,Food & Beverage,Limited Cooking Restaurant,Deli (Some Cooking) ,Delicatessens and Sandwich Shops (Some Cooking) ,,Deli (Some Cooking),"Sandwich, subs, meat, ",,,,,,,9081,5812,445210,17,31,SALES,2,M
Y, ,,Y,10192,Medical Services,Service,Dental Laboratories  ,Dental Laboratories ,,,"Teeth, Dentist, Lab, Research, Testing",,,,,,,71444,8072,339116,8,4,LOI,2,M
Y, ,,Y,10193,Medical Services,Texas office,Dentist and Oral Surgeon  Office - Only Building Occupant,Dentist and Oral Surgeon ,Office - Only Building Occupant,,,,Office,,,,Texas only,3221,8021,621210,1,1,LOI,2,H
, ,,,10194,Medical Services,Texas office,Dentist and Oral Surgeon  Building Owner / Lessor,Dentist and Oral Surgeon ,Building Owner / Lessor,,,,Lessors Risk Only,,,,Texas only,3221,8021,531120,1,1,LOI,2,H
Y, ,,Y,10195,Medical Services,Texas office,Dentist and Oral Surgeon  Shared Building Occupancy – Office,Dentist and Oral Surgeon ,Shared Building Occupancy – Office,,,,Condominium – Office,,,,Texas only,3231,8021,621210,2,18,LOI,2,H
, ,,,10196,Medical Services,Texas office,Dentist and Oral Surgeon  Building Owner / Lessor - Office - Shared Building Occupancy,Dentist and Oral Surgeon ,Building Owner / Lessor - Office - Shared Building Occupancy,,,,Condominium – Office – Lessors Risk Only,,,,Texas only,3231,8021,531120,2,18,LOI,2,H
Y, ,,Y,10197,Retail Store & Services,Retail,Department Stores  ,Department Stores ,,,"Clothing, Chain, Discount, ",,,,,,,53127,5311,452110,9,8,LOI,3,M
Y,Y,Y,Y,10198,Professional Services,Contractor,Desktop Software Development  ,Desktop Software Development ,,,,,,IT/Technology,Software development,,,10388,7379,541512,1,51,PAY,3,M
Y, ,Y,Y,10199,Professional Services,Offices,Detective or Investigative Agencies – Private  : Office - Only Building Occupant,Detective or Investigative Agencies – Private ,: Office - Only Building Occupant,,"Private Eye, Investigator, Sleuth",,Office,Consultants,Other consulting services,,Personal Injury And Advertising Injury Endorsement BP 04 37 must be attached.,63741,7381,561611,1,1,LOI,3,M
, ,,,10200,Professional Services,Offices,Detective or Investigative Agencies – Private  Office – : Building Owner / Lessor,Detective or Investigative Agencies – Private ,Office – : Building Owner / Lessor,,"Private Eye, Investigator, Sleuth",,Office – Lessors Risk Only,Consultants,Other consulting services,,Personal Injury And Advertising Injury Endorsement BP 04 37 must be attached.,63741,7381,531120,1,1,LOI,3,M
Y, ,Y,Y,10201,Professional Services,Offices,Detective or Investigative Agencies – Private  : Shared Building Occupancy – Office,Detective or Investigative Agencies – Private ,: Shared Building Occupancy – Office,,"Private Eye, Investigator, Sleuth",,Condominium – Office,Consultants,Other consulting services,,Personal Injury And Advertising Injury Endorsement BP 04 37 must be attached.,63751,7381,561611,2,18,LOI,3,M
, ,,,10202,Professional Services,Offices,Detective or Investigative Agencies – Private  : Building Owner / Lessor - Office - Shared Building Occupancy,Detective or Investigative Agencies – Private ,: Building Owner / Lessor - Office - Shared Building Occupancy,,"Private Eye, Investigator, Sleuth",,Condominium – Office – Lessors Risk Only,Consultants,Other consulting services,,Personal Injury And Advertising Injury Endorsement BP 04 37 must be attached.,63751,7381,531120,2,18,LOI,3,M
Y,Y,Y,Y,10203,Professional Services,Contractor,Dev Ops Consultant  ,Dev Ops Consultant ,,,,,,IT/Technology,Software development,,,10389,7379,541512,1,51,PAY,3,M
Y, ,Y,Y,10204,Medical Services,Offices,Diet/nutrition services  ,Diet/nutrition services ,,,,,,"Beauty, Health, and Wellbeing",Diet/nutrition services,,,63811,6324,621491,1,1,LOI,3,M
Y,Y,Y,Y,10205,Professional Services,Contractor,Digital marketing  ,Digital marketing ,,,,,,Consultants,Digital marketing,,,10453,7319,541890,1,51,PAY,3,M
Y, ,,Y,10206,Food & Beverage,Casual Dining,Diner - BYOB ,Diners – Bring Your Own Alcohol Establishments – With no sales of alcoholic beverages ,,Diner - BYOB,"Food, restaurant",,,,,,,9681,5812,72210,28,41,SALES,2,M
Y, ,,Y,10207,Food & Beverage,Casual Dining,Diner - No Alcohol ,Diners – With no sales of alcoholic beverages ,,Diner - No Alcohol,"Food, restaurant",,,,,,,9631,5812,72210,28,40,SALES,2,M
Y, ,,Y,10208,Food & Beverage,Casual Dining,Diner - With Alcohol ,Diners – With sales of alcoholic beverages up to 50% of total sales ,,Diner - With Alcohol,"Food, restaurant",,,,,,,9641,5812,72210,28,41,SALES,2,M
Y,Y,Y,Y,10209,Professional Services,Contractor,Display Advertising  ,Display Advertising ,,,"Online, social, media, Web, Advertisements",,,Consultants,Advertising,,,10390,7319,541512,1,51,PAY,3,M
Y,Y,Y,Y,10210,Professional Services,Contractor,Document preparation  ,Document preparation ,,,,,,Miscellaneous,Document preparation,,,10541,7319,711510,1,51,PAY,3,M
Y, ,,Y,10211,Food & Beverage,Fast Food Restaurants,Donut Shops  ,Donut Shops ,,,"Food, Diner",,,,,,,9091,5812,722210,18,32,SALES,2,M
Y, ,,Y,10212,Food & Beverage,Limited Cooking Restaurant,Donut Shops  ,Donut Shops ,,,"Food, Diner",,,,,,,9101,5812,722210,17,31,SALES,2,M
Y,Y,Y,Y,10213,Artisan Contractor,Contractor,Door or Window Installation Office ,"Door, Window or Assembled Millwork – Installation – Metal only (Other than metal should be classified as Carpentry) Office",,Door or Window Installation Office,"Contractor, Carpentry,",Office,,Consultants,Other consulting services,,,74411,1751,235510,19,56,PAY,3,S
Y,Y,Y,Y,10214,Artisan Contractor,Contractor,Door or Window Installation Shop ,"Door, Window or Assembled Millwork – Installation – Metal only (Other than metal should be classified as Carpentry) Shop",,Door or Window Installation Shop,"Contractor, Carpentry,",Shop,,Consultants,Other consulting services,,,74421,1751,235510,20,56,PAY,3,S
Y,Y,Y,Y,10215,Professional Services,Contractor,Draftsman (including CAD/CAM)  ,Draftsman (including CAD/CAM) ,,,,,,Architects & Engineers,Draftsman (including CAD/CAM),,,10399,7379,541512,1,51,PAY,3,M
Y, ,Y,Y,10216,"Health, Beauty & Fitness",Offices,Drama therapy  ,Drama therapy ,,,,,,"Beauty, Health, and Wellbeing",Drama therapy,,,63811,6324,621491,1,1,LOI,3,M
Y, ,,Y,10217,Food & Beverage,Fast Food Restaurants,Drive-ins/Service in Car   ,Drive-ins/Service in Car  ,,,"Food, Diner",,,,,,,9111,5812,722211,18,32,SALES,2,M
Y, ,,Y,10218,Food & Beverage,Limited Cooking Restaurant,Drive-ins/Service in Car   ,Drive-ins/Service in Car  ,,,"Food, Diner",,,,,,"When Drive-ins/Service in Car and any other eligible restaurant classification applies, rate and code the restaurant as Drive-ins/Service in Car.",9121,5812,722211,17,31,SALES,2,M
Y,Y,Y,Y,10219,Artisan Contractor,Contractor,Driveway or Sidewalk Paving/Repaving Office ,"Driveway, Parking Area or Sidewalk Repair – Paving or Re-paving (Not including clearing of right-of-way, earth or rock excavation and filling or grading of land) Office",,Driveway or Sidewalk Paving/Repaving Office,"Asphalt, Concrete, Contractor, Tarmac, Road",Office,,Consultants,Other consulting services,,,74471,1771,235710,19,57,PAY,3,S
Y,Y,Y,Y,10220,Artisan Contractor,Contractor,Driveway or Sidewalk Paving/Repaving Shop ,"Driveway, Parking Area or Sidewalk Repair – Paving or Re-paving (Not including clearing of right-of-way, earth or rock excavation and filling or grading of land) Shop",,Driveway or Sidewalk Paving/Repaving Shop,"Asphalt, Concrete, Contractor, Tarmac, Road",Shop,,Consultants,Other consulting services,,,74481,1771,235710,20,57,PAY,3,S
Y, ,,Y,10221,Wholesalers & Distributors,Distributor,Wholesale Drug Distributor ,"Drug Distributors (No re-packaging or re-labeling for ""own brand"" retail sale.) ",,Wholesale Drug Distributor,"Dealer, Pharmacy, Pharmaceutical",,,,,,,50291,5122,422210,13,15,LOI,2,M
Y, ,,Y,10222,Food & Beverage,Fast Food Restaurants,Drug Stores  ,Drug Stores ,,,"Food, Diner",,,,,,,9131,5812,722211,18,32,SALES,2,M
Y, ,,Y,10223,Food & Beverage,Limited Cooking Restaurant,Drug Stores  ,Drug Stores ,,,"Food, Diner",,,,,,,9141,5812,722211,17,31,SALES,2,M
Y, ,,Y,10224,Retail Store & Services,Retail,Drug Store ,Drugstores ,,Drug Store,"Pharmacy, Pharmaceutical",,,,,,,59116,5912,446110,7,8,LOI,1,M
Y, ,,Y,10225,Retail Store & Services,Retail,Sewing and Knitting Store ,"Dry Goods Dealers – Including Fabrics, Yarn and Piece Goods – (New Goods Only) ",,Sewing and Knitting Store,"Sewing, Quilting, Crochet, Embroidery, Craft",,,,,,,53985,5949,451130,7,5,LOI,3,M
Y,Y,Y,Y,10226,Artisan Contractor,Contractor,Drywall Installation and Repair Office ,Dry Wall or Wallboard Installation Office,,Drywall Installation and Repair Office,"Contractor, renovation, remodel",Office,,Consultants,Other consulting services,,,74501,1742,235420,19,51,PAY,3,M
Y,Y,Y,Y,10227,Artisan Contractor,Contractor,Drywall Installation and Repair Shop ,Dry Wall or Wallboard Installation Shop,,Drywall Installation and Repair Shop,"Contractor, renovation, remodel",Shop,,Consultants,Other consulting services,,,74511,1742,235420,20,51,PAY,3,M
,,,,10228,Habitational,Residential,Dwellings – Three or Four Family (Lessor's Risk Only)  ,Dwellings – Three or Four Family (Lessor's Risk Only) ,,,,,,,,,,69145,6531,531120,3,17,LOI,3,M
,,,,10229,Habitational,Residential,Dwellings – Three or Four Family (Lessor's Risk Only) - No mercantile occupancy  ,Dwellings – Three or Four Family (Lessor's Risk Only) - No mercantile occupancy ,,,,,,,,,,65141,6531,531120,4,19,LOI,3,M
,,,,10230,Habitational,Residential,Dwellings – Three or Four Family (Lessor's Risk Only) - With mercantile occupancy  ,Dwellings – Three or Four Family (Lessor's Risk Only) - With mercantile occupancy ,,,,,,,,,,65142,6531,531120,4,19,LOI,3,M
Y,Y,Y,Y,10231,Professional Services,Contractor,Ecommerce Development  ,Ecommerce Development ,,,,,,Consultants,Other consulting services,,,10391,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10232,Professional Services,Contractor,Editing & Proofreading  ,Editing & Proofreading ,,,,,,Consultants,Other consulting services,,,10507,7319,711510,1,51,PAY,3,M
Y,Y,Y,Y,10233,Professional Services,Contractor,Editor  ,Editor ,,,"Writing, Copy, Editing",,,Consultants,Other consulting services,,,10508,7319,711510,1,51,PAY,3,M
Y,Y,Y,Y,10234,Professional Services,Contractor,Education consulting  ,Education consulting ,,,,,,Consultants,Education consulting,,,10440,7319,541690,1,51,PAY,3,M
Y,Y,Y,Y,10235,Professional Services,Contractor,Electrical Engineering  ,Electrical Engineering ,,,"Electrician, Electricity",,,Architects & Engineers,Electrical engineering,,,10392,7379,541512,1,51,PAY,3,M
